,id,time,mood,appCat.builtin,mood_lag1,mood_lag2,mood_lag3,mood_lag4,mood_lag5,appCat.builtin_lag1,appCat.builtin_lag2,appCat.builtin_lag3,appCat.builtin_lag4,appCat.builtin_lag5
5,AS14.01,792.0,0.6947368421052633,0.8241366563722399,0.7105263157894737,0.7894736842105263,0.5368421052631579,0.631578947368421,0.5684210526315789,0.8245334214324945,0.8305098221458342,0.8240033005316968,0.8247071143706457,0.8252114766129164
6,AS14.01,816.0,0.4736842105263158,0.8223477535681484,0.6947368421052633,0.7105263157894737,0.7894736842105263,0.5368421052631579,0.631578947368421,0.8241366563722399,0.8245334214324945,0.8305098221458342,0.8240033005316968,0.8247071143706457
7,AS14.01,840.0,0.5526315789473684,0.8266448703361567,0.4736842105263158,0.6947368421052633,0.7105263157894737,0.7894736842105263,0.5368421052631579,0.8223477535681484,0.8241366563722399,0.8245334214324945,0.8305098221458342,0.8240033005316968
8,AS14.01,864.0,0.5368421052631579,0.825967389735505,0.5526315789473684,0.4736842105263158,0.6947368421052633,0.7105263157894737,0.7894736842105263,0.8266448703361567,0.8223477535681484,0.8241366563722399,0.8245334214324945,0.8305098221458342
9,AS14.01,888.0,0.5052631578947369,0.8224391409507574,0.5368421052631579,0.5526315789473684,0.4736842105263158,0.6947368421052633,0.7105263157894737,0.825967389735505,0.8266448703361567,0.8223477535681484,0.8241366563722399,0.8245334214324945
10,AS14.01,912.0,0.6000000000000001,0.8233524660101971,0.5052631578947369,0.5368421052631579,0.5526315789473684,0.4736842105263158,0.6947368421052633,0.8224391409507574,0.825967389735505,0.8266448703361567,0.8223477535681484,0.8241366563722399
11,AS14.01,936.0,0.5526315789473684,0.8369434411371351,0.6000000000000001,0.5052631578947369,0.5368421052631579,0.5526315789473684,0.4736842105263158,0.8233524660101971,0.8224391409507574,0.825967389735505,0.8266448703361567,0.8223477535681484
12,AS14.01,960.0,0.5526315789473684,0.8237528226329767,0.5526315789473684,0.6000000000000001,0.5052631578947369,0.5368421052631579,0.5526315789473684,0.8369434411371351,0.8233524660101971,0.8224391409507574,0.825967389735505,0.8266448703361567
13,AS14.01,984.0,0.5684210526315789,0.8222810841705366,0.5526315789473684,0.5526315789473684,0.6000000000000001,0.5052631578947369,0.5368421052631579,0.8237528226329767,0.8369434411371351,0.8233524660101971,0.8224391409507574,0.825967389735505
14,AS14.01,1008.0,0.6947368421052633,0.8263971013778054,0.5684210526315789,0.5526315789473684,0.5526315789473684,0.6000000000000001,0.5052631578947369,0.8222810841705366,0.8237528226329767,0.8369434411371351,0.8233524660101971,0.8224391409507574
15,AS14.01,1032.0,0.6947368421052633,0.8233370071676627,0.6947368421052633,0.5684210526315789,0.5526315789473684,0.5526315789473684,0.6000000000000001,0.8263971013778054,0.8222810841705366,0.8237528226329767,0.8369434411371351,0.8233524660101971
16,AS14.01,1056.0,0.631578947368421,0.8295763864454478,0.6947368421052633,0.6947368421052633,0.5684210526315789,0.5526315789473684,0.5526315789473684,0.8233370071676627,0.8263971013778054,0.8222810841705366,0.8237528226329767,0.8369434411371351
17,AS14.01,1080.0,0.6710526315789473,0.8221912296872471,0.631578947368421,0.6947368421052633,0.6947368421052633,0.5684210526315789,0.5526315789473684,0.8295763864454478,0.8233370071676627,0.8263971013778054,0.8222810841705366,0.8237528226329767
18,AS14.01,1104.0,0.7894736842105263,0.8229314504446196,0.6710526315789473,0.631578947368421,0.6947368421052633,0.6947368421052633,0.5684210526315789,0.8221912296872471,0.8295763864454478,0.8233370071676627,0.8263971013778054,0.8222810841705366
19,AS14.01,1128.0,0.6631578947368422,0.8220461750012791,0.7894736842105263,0.6710526315789473,0.631578947368421,0.6947368421052633,0.6947368421052633,0.8229314504446196,0.8221912296872471,0.8295763864454478,0.8233370071676627,0.8263971013778054
20,AS14.01,1152.0,0.5368421052631579,0.8233899473964775,0.6631578947368422,0.7894736842105263,0.6710526315789473,0.631578947368421,0.6947368421052633,0.8220461750012791,0.8229314504446196,0.8221912296872471,0.8295763864454478,0.8233370071676627
