,id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms,weekdaydummy0,weekdaydummy1,weekdaydummy2,weekdaydummy3,weekdaydummy4,weekdaydummy5,weekdaydummy6,min_temp,max_temp,sun,rain,total_appuse
7,AS14.01,0.0,0.1450151464138711,0.8257962921842719,0.07869228314959203,0.06702290303865567,0.06816055439780828,0.02748351263592119,0.12298686209047897,0.0640953035795913,0.06154678973293616,0.06119727261822756,0.0223326166104019,0.054166829431024806,0.34295219751357026,0.0,0.4375,0.6153846153846154,0.513157894736842,0.23045556683736892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2645161290322581,0.1866028708133971,0.436241610738255,0.0,0.17678452120812801
8,AS14.01,24.0,0.1450151464138711,0.8257962921842719,0.07869228314959203,0.06702290303865567,0.06816055439780828,0.02748351263592119,0.12298686209047897,0.0640953035795913,0.06154678973293616,0.06119727261822756,0.0223326166104019,0.054166829431024806,0.34295219751357026,0.0,0.5,0.4871794871794872,0.5263157894736841,0.23045556683736892,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2129032258064516,0.0,0.10067114093959731,0.28,0.17678452120812801
26,AS14.01,552.0,0.13518476776198535,0.8313475728226483,0.09766316665925563,0.051583558720061255,0.03511490674823377,0.02748351263592119,0.21300663255074684,0.15647327702252928,0.07613117733531855,0.0726193422057732,0.0223326166104019,0.03338945497989939,0.34295219751357026,0.0,0.55,0.4461538461538462,0.5052631578947369,0.35671406948236206,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3548387096774193,0.22488038277511957,0.30201342281879195,0.8,0.1918580709132102
27,AS14.01,576.0,0.4311382924701313,0.824494287676903,0.0970088790179881,0.04527372213907625,0.04074745779534237,0.02748351263592119,0.12298686209047897,0.062105167505975195,0.04165472891541807,0.06674950957714253,0.0223326166104019,0.10541433171369682,0.34295219751357026,0.0,0.65,0.5384615384615385,0.536842105263158,0.14897365348497538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3096774193548387,0.16746411483253587,0.22818791946308725,0.016,0.17236611941810984
28,AS14.01,600.0,0.2597986490004707,0.8290926094404472,0.08628276008716722,0.030185126228138646,0.06663474812549063,0.02748351263592119,0.12298686209047897,0.0509617707824835,0.057210279315669445,0.06119727261822756,0.0223326166104019,0.08024788440154844,0.34295219751357026,0.0,0.55,0.6307692307692307,0.6000000000000001,0.21043772234451355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23225806451612901,0.12440191387559807,0.42953020134228187,0.136,0.16799823748657294
29,AS14.01,624.0,0.1437145533491408,0.821538070996807,0.06532006882706495,0.05367328296968957,0.0316726669012623,0.02748351263592119,0.011014639146161215,0.044783361192881746,0.07134560785482766,0.015548735659390116,0.0223326166104019,0.02500365590863815,0.34295219751357026,0.0,0.7,0.38461538461538464,0.47368421052631576,0.2410988559936793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07096774193548387,0.13397129186602869,0.6912751677852349,0.07200000000000001,0.14699141808568272
30,AS14.01,648.0,0.13976158714769427,0.8268664345095003,0.08967204283553443,0.032817696106289304,0.06604431150691605,0.02748351263592119,0.12298686209047897,0.15549276884464233,0.07867610518168278,0.06119727261822756,0.011788588136641602,0.058735414304121936,0.34295219751357026,0.0,0.625,0.5384615384615385,0.5921052631578947,0.2922202073195719,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05806451612903226,0.17703349282296654,0.6040268456375839,0.0,0.17473318401338908
31,AS14.01,672.0,0.12735463015073956,0.8252114766129164,0.07666662335455697,0.1279962832974089,0.05222798184590676,0.02748351263592119,0.12298686209047897,0.07529573033929478,0.09321517597087679,0.06119727261822756,0.0223326166104019,0.08929522358985396,0.34295219751357026,0.0,0.45,0.5692307692307692,0.5684210526315789,0.19073120360096274,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08133971291866027,0.2953020134228188,0.032,0.20939313302320411
32,AS14.01,696.0,0.15598588482835202,0.8247071143706457,0.06088846093069318,0.06944952742345695,0.08844029992150067,0.02748351263592119,0.05629962343748839,0.036868290902994524,0.08261973761544004,0.04227678139154572,0.0223326166104019,0.042141903435350105,0.34295219751357026,0.0,0.55,0.6307692307692307,0.631578947368421,0.2192500340464927,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1935483870967742,0.32057416267942584,0.5637583892617449,0.024,0.1688565933480339
33,AS14.01,720.0,0.1312108997248607,0.8240033005316968,0.04406188846052501,0.08964517605681108,0.07940611211866928,0.045086902400838125,0.12298686209047897,0.20197334358959185,0.0288965690032954,0.07751101882434794,0.0223326166104019,0.08048434581308787,0.34295219751357026,0.0,0.35,0.5692307692307692,0.536842105263158,0.17530801094353596,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36129032258064514,0.46411483253588515,0.7718120805369127,0.0,0.19763977959956947
